"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 18 11:07:09 IDT 2021","Sun Apr 18 11:07:14 IDT 2021","5173","Web suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test03_UpdateTeamAndVerify","Test 03:Update Team And verify","This Test Updates a Team to Greafana and Verify it"
"passed","Sun Apr 18 11:06:58 IDT 2021","Sun Apr 18 11:07:00 IDT 2021","1890","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test02_verifyDefaultUsers","Test02 - Verify Default Users","This Test verifies the default users"
"passed","Sun Apr 18 11:07:15 IDT 2021","Sun Apr 18 11:07:20 IDT 2021","5146","Web suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test04_DeleteTeamAndVerify","Test 04:Delete Team And verify","This Test Deletes a Team to Greafana and Verify it"
"passed","Sun Apr 18 11:06:52 IDT 2021","Sun Apr 18 11:06:58 IDT 2021","5790","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test01_verifyHeader","Test01 - Verify Header","This Test login and verifies the main header"
"passed","Sun Apr 18 11:07:10 IDT 2021","Sun Apr 18 11:07:24 IDT 2021","14194","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07 - Search Users","This Test Searched Users in a table using DDT"
"passed","Sun Apr 18 11:07:01 IDT 2021","Sun Apr 18 11:07:04 IDT 2021","3194","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test03_verifyNewUser","Test03 - Verify New User","This Test verifies a new user has been added"
"passed","Sun Apr 18 11:07:07 IDT 2021","Sun Apr 18 11:07:09 IDT 2021","2254","Web suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test02_addTeamAndVerify","Test 02:Add Team And verify","This Test Adds a Team to Greafana and Verify it"
"passed","Sun Apr 18 11:07:24 IDT 2021","Sun Apr 18 11:07:28 IDT 2021","3656","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07 - Search Users","This Test Searched Users in a table using DDT"
"passed","Sun Apr 18 11:07:28 IDT 2021","Sun Apr 18 11:07:42 IDT 2021","13837","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07 - Search Users","This Test Searched Users in a table using DDT"
"passed","Sun Apr 18 11:07:04 IDT 2021","Sun Apr 18 11:07:08 IDT 2021","3792","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test04_verifyNewUserDeletion","Test04 - Verify User Deletion","This Test login and verifies the main header"
"passed","Sun Apr 18 11:07:08 IDT 2021","Sun Apr 18 11:07:09 IDT 2021","885","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test05_verifyProgressStep","Test05 - Verify Progress Steps","This Test verifies the default progress steps are displayed (using soft assertion"
"passed","Sun Apr 18 11:07:04 IDT 2021","Sun Apr 18 11:07:07 IDT 2021","3220","Web suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test01_verifyTeam","Test 01:Get Team From Grafana","This Test Verify Team Property"
